TextToOnto,Skecth,Our
reason,1,1,1,
metadata,,1,1,
reuse,,1,,
skos,,1,,
constraints,,1,,
evaluation,1,,1,
predicate,,1,,
xml,,1,,
retrieval,,1,,
api,,1,,
springer,,1,,
knowledge,1,1,1,
analysis,1,,1,
tags,,1,,
quality,,,1,
node,1,1,1,
triple,1,1,1,
science,1,,1,
domain,1,1,1,
metrics,,1,,
object,1,,,
schema,,1,1,
conference,1,,1,
rdfs,,1,,
example,1,,,
result,1,,1,
axioms,,1,,
search,1,,1,
endpoint,,1,,
vocabulary,1,,,
term,1,,1,
wikipedia,,1,,
annotation,1,1,1,
set,1,,,
proccedings,1,1,,
strategies,,1,,
queries,,1,1,
rdf,1,1,1,
information,1,,1,
dataset,1,1,1,
operation,1,,,
agent,1,1,,
documents,1,,1,
language,1,,1,
acm,,1,,
ieee,,1,,
research,1,,1,
keyword,,1,,
foaf,,1,,
query,1,1,1,
list,1,,,
graph,1,1,1,
technologies,,1,,
uris,,1,,
wordnet,,1,,
name,1,,,
http,1,1,,
page,1,,1,
sources,,,1,
concept,1,,1,
classes,,,1,
rule,1,,1,
description,1,,1,
learning,,1,,
interface,1,,,
representation,1,,1,
soruce,1,,1,
content,1,,1,
engine,1,,,
class,1,,1,
sameas,,1,,
overview,,1,,
wide,,1,,
org,,,1,
label,1,,,
way,1,,,
form,1,,,
service,1,,1,
step,1,,,
time,1,,1,
subset,,1,,
software,,1,,
type,1,,1,
approach,1,,1,
relation,1,,1,
number,1,,1,
problem,1,,1,
experiment,1,,,
context,1,,1,
e-mail,,1,,
model,1,,1,
text,1,,,
case,1,,1,
algorithm,1,1,1,
order,1,,1,
similar,1,,1,
mapping,,1,1,
method,1,,1,
work,1,,1,
dbpedia,,1,1,
benchmark,,1,,
system,1,,1,
semantic,1,1,1,
server,,1,,
w3c,,1,,
iswc,,1,,
pattern,1,,1,
functionality,,1,,
computer,,1,,
world,1,,1,
feature,1,,1,
web,1,1,1,
datatype,,1,,
map,1,,,
table,1,,1,
datalog,,1,,
question,1,,,
identifiers,,1,,
uri,,1,,
url,,1,,
computation,1,,,
framework,1,1,1,
entities,,,1,
elements,1,,,
logic,1,1,,
sparql,1,1,1,
entity,1,,1,
instance,1,,1,
data,1,1,1,
owl,1,1,1,
use,,,1,
section,1,,1,
reference,1,,,
function,1,,,
html,,1,,
ontologies,1,1,1,
entailment,,1,,
elsevier,,1,,
workflow,,1,,
resource,1,1,1,
level,1,,1,
author,1,,,
tool,1,,1,
task,1,,,
university,,,1,
part,1,,,
link,1,,1,
sql,,1,,
database,1,1,1,
provenance,,1,,
paper,1,,1,
value,1,,1,
process,1,,1,
match,1,,,
structure,1,,1,
int,,1,,
performance,,,1,
application,1,,1,
online,,1,,
user,1,1,1,
properties,1,,1,
